company_id,type,rule_id,text,confidence_pct
SBILIFE,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
SBIN,pro,PRO_DEFAULT,Financial ratio data unavailable. Detailed evaluation pending.,65
SBIN,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
SHREECEM,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
SHRIRAMFIN,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
SIEMENS,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
SUNPHARMA,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
TATACONSUM,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
TATAMOTORS,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
TATAPOWER,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
TATASTEEL,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
TCS,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
TECHM,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
TITAN,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
TORNTPHARM,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
TRENT,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
TVSMOTOR,con,CON_DEFAULT,Financial ratio data unavailable for rule evaluation.,65
